,,,,,N(H) from Dust,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,t353(e6),er,tauNH,er,E(B-V),er,ebvNH,er,R(e11),er,rNH,er,Av,OH?,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic
78,T0629+10,201.5315,0.5079,75.2,3.61,397.591968067,8.8194501586,553.642839614,23.0641116735,1.5665,0.2278,178.443148,26.7652233317,36.9356234842,1.2647836654,171.911319164,8.6334077545,4.6689,1,1,0,0,0,0,0,0
79,3C223,188.4071,48.65994,1.31,1.62,0.4006222696,0.0258633293,0.5578625042,0.0410365833,0.0102,0.0003,1.1619024,0.0546965574,0.2653112574,0.0184734587,1.2348514509,0.0972145296,0.0308,-1,0,1,0,0,0,0,0
80,4C12.50,347.223,70.1718,2.37,0.11,2.1908631425,0.1142718702,3.0507550172,0.1920741898,0.0286,0.0005,3.2578832,0.1326019414,0.9959634184,0.0580829078,4.6355623365,0.319501202,0.0893,-1,0,1,0,0,0,0,0
81,4C04.51,7.2923,47.747,4.55,0.13,3.4001159293,0.1906546458,4.7346274303,0.3136164125,0.0433,0.0012,4.9323896,0.2270533251,1.3206762617,0.0816762069,6.1468895586,0.4421571778,0.135,-1,0,1,0,0,0,0,0
82,4C33.48,66.3887,8.3713,15.76,3.04,14.6526072058,0.3441227818,20.403609008,0.8644426581,0.1755,0.0029,19.991556,0.8056506804,5.3780473763,0.1887759537,25.031314806,1.2718218385,0.5534,-1,0,1,0,0,0,0,0
83,3C111,161.6756,-8.8197,36.43,4.42,125.657272292,5.4158663261,174.976495094,9.7439216752,1.4217,0.0205,161.9486904,6.3942497721,15.3220776156,0.7719294474,71.31431195,4.4465193788,4.4208,-1,0,1,0,0,0,0,0
84,J2232,77.4379,-38.5824,5.5,0.41,4.0079380597,0.1859129952,5.5810136687,0.3251910933,0.0612,0.0015,6.9714144,0.3079861973,1.4331808984,0.0762717325,6.6705255145,0.4313562009,0.1914,-1,0,1,0,0,0,0,0
85,3C298,352.1602,60.6666,2.39,0.38,1.2960340428,0.0729517069,1.8047144442,0.1198715682,0.0249,0.0008,2.8364088,0.1384692041,0.6212468406,0.0385419226,2.8915002327,0.208476937,0.0785,0,0,0,0,0,1,0,1
86,B2050,78.8581,-5.1238,33.86,2.42,23.2294532907,0.5697984307,32.3467814128,1.3894394471,0.0462,0.0006,5.2627344,0.2051566415,7.2953577046,0.2612316567,33.9551481324,1.7418994286,0.1432,-1,0,1,0,0,0,0,0
87,PKS0531,186.7617,-7.1076,28.84,9.72,20.7510529435,0.6243462849,28.8956337133,1.3394191405,0.3026,0.0085,34.4697712,1.5945932484,5.0628420922,0.2016120092,23.564239092,1.27666584,0.9372,-1,0,1,0,0,0,0,0
88,4C16.09,166.6357,-33.5959,12.1,1.13,10.3904576463,0.4368748705,14.4686083679,0.7939637397,0.1311,0.0041,14.9338632,0.7207127471,2.5714535923,0.1272382861,11.9684450272,0.7375767142,0.4059,-1,0,1,0,0,0,0,0
89,3C48,133.9626,-28.7194,4.95,0.41,2.5675717552,0.0910397375,3.5753179934,0.1787889788,0.0377,0.0007,4.2944824,0.1768451534,1.0370518311,0.0456510796,4.82680219,0.2767424411,0.1165,-1,0,1,0,0,0,0,0
90,3C327.1,12.1821,37.0047,8.72,1.18,8.3588602138,0.3146878953,11.6396292591,0.600397658,0.1147,0.0018,13.0657064,0.5221834498,2.2848816172,0.1046526388,10.6346387552,0.6244014779,0.3523,-1,0,1,0,0,0,0,0
91,3C147,161.6864,10.2984,20.59,1.95,17.7829388122,0.4666235327,24.7625644665,1.0884111426,0.2252,0.0067,25.6529824,1.2130757085,3.5079898453,0.1297986863,16.3274125364,0.8513063029,0.6936,-1,0,1,0,0,0,0,0
92,3C459,83.0397,-51.285,6.29,0.49,5.0707913033,0.1932417035,7.0610261819,0.3666086664,0.0564,0.0009,6.4246368,0.2574383299,1.4273280158,0.0659173537,6.6432841502,0.3920265005,0.174,-1,0,1,0,0,0,0,0
93,3C345,63.455,40.9489,1.01,0.13,1.1844019809,0.0682806558,1.6492679144,0.1114558675,0.0112,0.0006,1.2758144,0.082887707,0.3859403463,0.024421335,1.796301451,0.131431382,0.035,-1,0,1,0,0,0,0,0
