,,,,,N(H2) vs N(OH),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,tauNH,er,tNH2,er,ebver,ebvNH,er,eNH2,er,rNH,er,rNH2,er,Av,OH?,N(OH),er
55,T0556+19,190.0893,-2.1665,67.67,40.2,142.724067654,5.8915364002,37.527033827,20.3147126558,0.063,141.1825328,8.8560948345,36.7562664,20.58197279,62.5275783657,3.1204806873,-2.5712108172,20.1604650227,3.682,0,0,0
56,P1117+14,240.438,65.7884,1.98,0.02,2.0886361315,0.0961454378,0.0543180658,0.0491017953,0.0007,2.8478,0.1315857377,0.4339,0.0665484905,3.0275803914,0.163197732,0.5237901957,0.0822093361,0.0773,0,0,0
57,3C264.0,236.9959,73.6422,2.18,0.03,2.279170157,0.1365252125,0.0495850785,0.0698912256,0.0004,2.2896312,0.0957009333,0.0548156,0.0501464571,3.8029109168,0.2515321986,0.8114554584,0.1266574582,0.0622,0,0,0
58,3C208.1,213.6015,33.583,3.48,0.07,4.3508288867,0.1640711778,0.4354144434,0.0891898977,0.0028,3.0642328,0.338255348,-0.2078836,0.1727112333,3.4658266488,0.1628817454,-0.0070866756,0.0886431935,0.0804,0,0,0
59,3C208.0,213.6628,33.1608,3.77,0.06,4.7089606726,0.1916045206,0.4694803363,0.1003896064,0.0009,3.2692744,0.1579564921,-0.2503628,0.0844841012,4.087692837,0.2020091991,0.1588464185,0.1053656924,0.0902,0,0,0
60,4C32.44,67.2335,81.0477,1.36,0.09,1.1227427924,0.0502589107,-0.1186286038,0.051541144,0.0004,1.5150296,0.0719522761,0.0775148,0.0576132147,1.7934502222,0.0947385677,0.2167251111,0.0653364298,0.0413,0,0,0
61,3C263.1,228.2701,74.3753,2.12,0.06,1.3613549712,0.0697175378,-0.3793225144,0.0459905835,0.0006,2.27824,0.108090517,0.07912,0.0618133478,2.5195837804,0.147115622,0.1997918902,0.0794402389,0.0627,-1,-1,-1
62,3C225b,220.0101,44.0084,4.55,0.21,6.8486094297,0.2822642361,1.1493047149,0.175907006,0.0027,5.239952,0.3628901684,0.344976,0.2096361576,6.3028299325,0.3142113822,0.8764149662,0.1889634837,0.1462,0,0,0
63,3C410,69.2117,-3.7691,59.69,6.69,113.47816087,5.4406989818,26.894080435,4.3115341066,0.0152,132.6733064,5.1748053973,36.4916532,4.2289097561,89.4291934611,4.9674003006,14.8695967306,4.1662682867,3.6498,1,0.5503,0.24818408
64,P0347+05,182.2737,-35.7311,17.02,0.97,28.9509223905,1.2350062673,5.9654611953,0.7851975039,0.0067,27.1566208,1.2565155103,5.0683104,0.7936830645,22.938636195,1.1710753182,2.9593180975,0.7603152966,0.75,0,0,0
